time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
476,8.97,0.00,0.00,inf,50.00,512.11,-91.33,141.33,-46772.33
477,8.96,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
478,8.94,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
479,8.93,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
480,8.93,0.00,0.00,inf,50.00,512.11,-183.00,233.00,-93715.36
481,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
482,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
483,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
484,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
485,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
486,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
487,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
488,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
489,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
490,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
491,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
492,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
493,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
494,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
495,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
496,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
497,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
498,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
499,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
500,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
501,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
502,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
503,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
504,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
505,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
506,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
507,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
508,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
509,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
510,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
511,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
512,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
513,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
514,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
515,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
516,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
517,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
518,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
519,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
520,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
521,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
522,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
523,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
524,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
525,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
526,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
527,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
528,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
529,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
530,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
531,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
532,8.93,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
