0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
375,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
376,36000.00,0.00,0.00,inf,0.00,533.88,0.00,0.00,0.00
377,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
378,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
379,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
380,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
381,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
382,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
383,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
384,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
385,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
386,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
387,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
388,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
389,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
390,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
391,36000.00,0.00,0.00,inf,0.00,508.48,0.00,0.00,0.00
392,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
393,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
394,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
395,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
396,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
397,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
398,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
399,36000.00,0.00,0.00,inf,0.00,520.27,0.00,0.00,0.00
