PV
Date,P # [W]
2014-01-01 14:15:04, 0.0
2014-01-01 14:15:05, 0.0
2014-01-01 14:15:06, 0.0
2014-01-01 14:15:07, 0.0
2014-01-01 14:15:08, 0.0
2014-01-01 14:15:09, 0.0
2014-01-01 14:15:10, 0.0
2014-01-01 14:15:11, 0.0
2014-01-01 14:15:12, 0.0
2014-01-01 14:15:13, 0.0
2014-01-01 14:15:14, 0.0
2014-01-01 14:15:15, 0.0
2014-01-01 14:15:16, 0.0
2014-01-01 14:15:17, 0.0
2014-01-01 14:15:18, 0.0
2014-01-01 14:15:19, 0.0
2014-01-01 14:15:20, 0.0
2014-01-01 14:15:21, 0.0
2014-01-01 14:15:22, 0.0
2014-01-01 14:15:23, 0.0
2014-01-01 14:15:24, 0.0
2014-01-01 14:15:25, 0.0
2014-01-01 14:15:26, 0.0
2014-01-01 14:15:27, 0.0
2014-01-01 14:15:28, 0.0
2014-01-01 14:15:29, 0.0
2014-01-01 14:15:30, 0.0
2014-01-01 14:15:31, 0.0
2014-01-01 14:15:32, 0.0
2014-01-01 14:15:33, 0.0
2014-01-01 14:15:34, 0.0
2014-01-01 14:15:35, 0.0
2014-01-01 14:15:36, 0.0
2014-01-01 14:15:37, 0.0
2014-01-01 14:15:38, 0.0
2014-01-01 14:15:39, 0.0
2014-01-01 14:15:40, 0.0
2014-01-01 14:15:41, 0.0
2014-01-01 14:15:42, 0.0
2014-01-01 14:15:43, 0.0
2014-01-01 14:15:44, 0.0
2014-01-01 14:15:45, 0.0
2014-01-01 14:15:46, 0.0
2014-01-01 14:15:47, 0.0
2014-01-01 14:15:48, 0.0
2014-01-01 14:15:49, 0.0
2014-01-01 14:15:50, 0.0
2014-01-01 14:15:51, 0.0
2014-01-01 14:15:52, 0.0
2014-01-01 14:15:53, 0.0
2014-01-01 14:15:54, 0.0
2014-01-01 14:15:55, 0.0
2014-01-01 14:15:56, 0.0
2014-01-01 14:15:57, 0.0
2014-01-01 14:15:58, 0.0
2014-01-01 14:15:59, 0.0
2014-01-01 14:16:00, 0.0
2014-01-01 14:16:01, 0.0
2014-01-01 14:16:02, 0.0
2014-01-01 14:16:03, 0.0
2014-01-01 14:16:04, 0.0
2014-01-01 14:16:05, 0.0
2014-01-01 14:16:06, 0.0
2014-01-01 14:16:07, 0.0
2014-01-01 14:16:08, 0.0
2014-01-01 14:16:09, 0.0
2014-01-01 14:16:10, 0.0
2014-01-01 14:16:11, 0.0
2014-01-01 14:16:12, 0.0
2014-01-01 14:16:13, 0.0
2014-01-01 14:16:14, 0.0
2014-01-01 14:16:15, 0.0
2014-01-01 14:16:16, 0.0
2014-01-01 14:16:17, 0.0
2014-01-01 14:16:18, 0.0
2014-01-01 14:16:19, 0.0
