0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
243,0.00,5.00,0.00,inf,500.00,549.75,-291.00,796.00,-159978.40
244,0.01,5.00,0.00,inf,500.00,549.75,-73.00,578.00,-40132.04
245,0.00,5.00,20.00,inf,500.00,549.75,267.00,218.00,146784.31
246,0.00,5.00,0.00,inf,500.00,549.75,-230.33,735.33,-126626.66
247,0.00,5.00,0.00,inf,500.00,549.75,-147.67,652.67,-81180.33
248,0.01,5.00,0.00,inf,500.00,549.75,-85.00,590.00,-46729.09
249,0.01,5.00,0.00,inf,500.00,549.75,-235.67,740.67,-129558.68
250,0.01,5.00,0.00,inf,500.00,549.75,-135.00,640.00,-74216.78
251,0.01,5.00,0.00,inf,500.00,549.75,-489.00,994.00,-268829.68
252,0.00,5.00,35.00,inf,500.00,549.75,150.00,320.00,82463.09
253,0.00,5.00,3.00,inf,500.00,549.75,5.00,497.00,2748.77
254,0.00,5.00,7.00,inf,500.00,549.75,84.00,414.00,46179.33
255,0.00,5.00,5.00,inf,500.00,549.75,250.00,250.00,137438.49
256,0.00,5.00,5.00,inf,500.00,526.62,159.00,341.00,83732.70
257,0.00,5.00,5.00,inf,500.00,526.62,102.00,398.00,53715.32
258,0.00,5.00,5.00,inf,500.00,526.62,211.00,289.00,111116.98
259,0.00,5.00,5.00,inf,500.00,526.62,391.00,109.00,205908.71
260,0.00,5.00,5.00,inf,500.00,526.62,132.33,367.67,69689.48
261,0.00,5.00,5.00,inf,500.00,526.62,346.67,153.33,182561.86
262,0.00,5.00,5.00,inf,500.00,526.62,159.00,341.00,83732.70
263,0.00,5.00,5.00,inf,500.00,526.62,102.00,398.00,53715.32
264,0.00,5.00,5.00,inf,500.00,526.62,211.00,289.00,111116.98
265,0.00,5.00,5.00,inf,500.00,526.62,391.00,109.00,205908.71
266,0.00,5.00,5.00,inf,500.00,526.62,132.33,367.67,69689.48
267,0.00,5.00,5.00,inf,500.00,526.62,73.67,426.33,38794.39
268,0.00,5.00,5.00,inf,500.00,526.62,205.00,295.00,107957.25
269,0.00,5.00,5.00,inf,500.00,526.62,129.67,370.33,68285.16
270,0.00,5.00,5.00,inf,500.00,526.62,180.00,320.00,94791.73
271,0.00,5.00,3.00,inf,500.00,522.54,5.00,497.00,2612.69
272,0.00,5.00,7.00,inf,500.00,522.54,84.00,414.00,43893.23
273,0.00,5.00,0.00,inf,500.00,522.54,-45.00,550.00,-23514.23
274,0.00,5.00,10.00,inf,500.00,522.54,154.00,341.00,80470.92
275,0.00,5.00,5.00,inf,500.00,522.54,102.00,398.00,53298.92
276,0.00,5.00,5.00,inf,500.00,522.54,11.00,489.00,5747.92
277,0.00,5.00,5.00,inf,500.00,522.54,391.00,109.00,204312.52
278,0.00,5.00,5.00,inf,500.00,522.54,132.33,367.67,69149.25
279,0.00,5.00,5.00,inf,500.00,522.54,346.67,153.33,181146.65
280,0.00,5.00,5.00,inf,500.00,522.54,391.00,109.00,204312.52
281,0.00,5.00,5.00,inf,500.00,522.54,132.33,367.67,69149.25
282,0.00,5.00,5.00,inf,500.00,522.54,346.67,153.33,181146.65
283,0.00,5.00,5.00,inf,500.00,522.54,159.00,341.00,83083.61
284,0.00,5.00,3.00,inf,500.00,522.54,5.00,497.00,2612.69
285,0.00,5.00,7.00,inf,500.00,522.54,178.00,320.00,93011.84
286,0.00,5.00,3.00,inf,500.00,540.68,5.00,497.00,2703.41
287,0.00,5.00,7.00,inf,500.00,540.68,84.00,414.00,45417.30
288,0.00,5.00,5.00,inf,500.00,540.68,250.00,250.00,135170.53
289,0.00,5.00,5.00,inf,500.00,540.68,159.00,341.00,85968.45
290,0.00,5.00,5.00,inf,500.00,540.68,102.00,398.00,55149.57
291,0.00,5.00,5.00,inf,500.00,540.68,11.00,489.00,5947.50
292,0.00,5.00,5.00,inf,500.00,540.68,391.00,109.00,211406.70
293,0.00,5.00,5.00,inf,500.00,540.68,159.00,341.00,85968.45
294,0.00,5.00,5.00,inf,500.00,540.68,102.00,398.00,55149.57
295,0.00,5.00,5.00,inf,500.00,540.68,11.00,489.00,5947.50
296,0.00,5.00,5.00,inf,500.00,540.68,391.00,109.00,211406.70
297,0.00,5.00,5.00,inf,500.00,540.68,346.67,153.33,187436.46
298,0.00,5.00,5.00,inf,500.00,540.68,180.00,320.00,97322.78
299,0.00,5.00,5.00,inf,500.00,540.68,391.00,109.00,211406.70
300,0.00,5.00,5.00,inf,500.00,540.68,346.67,153.33,187436.46
301,0.00,5.00,5.00,inf,500.00,542.50,450.00,50.00,244123.41
302,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
303,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
304,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
305,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
306,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
307,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
308,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
309,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
310,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
311,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
312,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
313,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
314,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
315,0.00,5.00,5.00,inf,500.00,542.50,500.00,0.00,271248.24
316,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
317,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
318,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
319,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
320,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
321,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
322,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
323,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
324,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
325,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
326,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
327,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
328,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
329,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
330,0.00,5.00,5.00,inf,500.00,552.02,500.00,0.00,276010.96
331,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
332,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
333,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
334,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
335,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
336,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
337,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
338,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
339,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
340,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
341,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
342,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
343,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
344,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
345,0.00,5.00,5.00,inf,500.00,516.19,500.00,0.00,258094.06
346,0.00,5.00,5.00,inf,500.00,511.65,500.00,0.00,255826.10
